alias,autor_normalizado,confianza,origen,score,n_filas_base,n_articulos_base
Hector Benitez Perez,Héctor Benítez Pérez,alta,tutora_exacta_display,1.0,5,5
Héctor Benitez Perez,Héctor Benítez Pérez,alta,tutora_exacta_display,1.0,2,2
Héctor Benítez Pérez,Héctor Benítez Pérez,alta,tutora_exacta_display,1.0,7,7
"Guerrero, Hector",Héctor Guerrero,alta,tutora_exacta,1.0,1,1
Hector Guerrero,Héctor Guerrero,alta,tutora_exacta_display,1.0,1,1
Ismael Lopez Juarez,Ismael Lopez Juarez,alta,tutora_exacta_display,1.0,2,2
Ismael López Juárez,Ismael Lopez Juarez,alta,tutora_exacta_display,1.0,3,3
"Lopez-Juarez, Ismael",Ismael Lopez Juarez,alta,tutora_exacta,1.0,2,2
"López-Juárez, Ismael",Ismael Lopez Juarez,alta,tutora_exacta,1.0,3,3
Ivan Vladimir Meza Ruiz,Ivan Vladimir Meza Ruíz,alta,tutora_exacta_display,1.0,2,2
"Ruiz, Ivan Vladimir Meza",Ivan Vladimir Meza Ruíz,alta,tutora_exacta,1.0,2,2
"Eizmendi, Inaki",Iñaki Eizmendi,alta,tutora_exacta,1.0,2,2
Inaki Eizmendi,Iñaki Eizmendi,alta,tutora_exacta_display,1.0,2,2
J E Solis Perez,J E Solís Pérez,alta,tutora_exacta_display,1.0,1,1
J E Solís Pérez,J E Solís Pérez,alta,tutora_exacta_display,1.0,1,1
"Solis-Perez, J. E.",J E Solís Pérez,alta,tutora_exacta,1.0,1,1
"Solís-Pérez, J. E.",J E Solís Pérez,alta,tutora_exacta,1.0,1,1
"Camacho-Escoto, J. J.",J J Camacho Escoto,alta,tutora_exacta,1.0,2,2
"Camacho-Escoto, J.J.",J J Camacho Escoto,alta,tutora_exacta,1.0,2,2
"Escoto, J. J. Camacho",J J Camacho Escoto,alta,tutora_exacta,1.0,1,1
J J Camacho Escoto,J J Camacho Escoto,alta,tutora_exacta_display,1.0,2,2
J J Camacho Escoto,J J Camacho Escoto,alta,tutora_exacta_display,1.0,1,1
J. J. Camacho-Escoto,J J Camacho Escoto,alta,tutora_exacta,1.0,2,2
J Perez Gonzalez,J Perez Gonzalez,alta,tutora_exacta_display,1.0,4,4
J Pérez González,J Perez Gonzalez,alta,tutora_exacta_display,1.0,1,1
J. Perez-Gonzalez,J Perez Gonzalez,alta,tutora_exacta,1.0,6,6
J. Pérez-González,J Perez Gonzalez,alta,tutora_exacta,1.0,3,3
"Perez-Gonzalez, J.",J Perez Gonzalez,alta,tutora_exacta,1.0,4,4
"Pérez-González, J.",J Perez Gonzalez,alta,tutora_exacta,1.0,1,1
J. A. Moreno,Jaime A Moreno,media,tutora_probable,0.96,1,1
Jaime Urrutia Fucugauchi,Jaime Humberto Urrutia Fucugauchi,alta,tutora_probable_display,0.99,1,1
"Urrutia-Fucugauchi, Jaime",Jaime Humberto Urrutia Fucugauchi,alta,tutora_probable,0.99,1,1
"Garcia-Ramirez, Jesus",Jesús García Ramírez,alta,tutora_exacta,1.0,2,2
"García-Ramírez, Jesús",Jesús García Ramírez,alta,tutora_exacta,1.0,4,4
Jesus Garcia Ramirez,Jesús García Ramírez,alta,tutora_exacta_display,1.0,2,2
Jesús García Ramírez,Jesús García Ramírez,alta,tutora_exacta_display,1.0,4,4
Jesús García-Ramírez,Jesús García Ramírez,alta,tutora_exacta,1.0,1,1
Jimena Olveres Montiel,Jimena Olveres Montiel,alta,tutora_exacta_display,1.0,2,2
"Olveres-Montiel, Jimena",Jimena Olveres Montiel,alta,tutora_exacta,1.0,2,2
Jorge A Marquez Flores,Jorge Alberto Márquez Flores,media,tutora_probable_display,0.96,2,2
"Marquez-Flores, Jorge A.",Jorge Alberto Márquez Flores,media,tutora_probable,0.96,2,2
"Barrera Ballesteros, Jorge K.",Jorge Karolt Barrera Ballesteros,media,tutora_probable,0.96,2,2
Jorge K Barrera Ballesteros,Jorge Karolt Barrera Ballesteros,media,tutora_probable_display,0.96,2,2
"Arjona, J.L.O.",Jorge Luis Ortega Arjona,media,tutora_probable,0.96,2,2
"Arjona, Jorge Luis Ortega",Jorge Luis Ortega Arjona,alta,tutora_exacta,1.0,3,3
J L O Arjona,Jorge Luis Ortega Arjona,media,tutora_probable_display,0.96,2,2
J. L. O. Arjona,Jorge Luis Ortega Arjona,media,tutora_probable,0.96,3,3
J. L. Ortega-Arjona,Jorge Luis Ortega Arjona,media,tutora_probable,0.96,2,2
Jorge Luis Ortega Arjona,Jorge Luis Ortega Arjona,alta,tutora_exacta_display,1.0,3,3
Jorge Luis Ortega Arjona,Jorge Luis Ortega Arjona,alta,tutora_exacta_display,1.0,9,9
"Ortega Arjona, Jorge Luis",Jorge Luis Ortega Arjona,alta,tutora_exacta,1.0,3,3
"Ortega-Arjona, Jorge Luis",Jorge Luis Ortega Arjona,alta,tutora_exacta,1.0,9,9
Jorge Perez Gonzalez,Jorge Pérez González,alta,tutora_exacta_display,1.0,6,6
Jorge Perez Gonzalez,Jorge Pérez González,alta,tutora_exacta_display,1.0,2,2
Jorge Perez gonzalez,Jorge Pérez González,alta,tutora_exacta_display,1.0,2,2
Jorge Pérez González,Jorge Pérez González,alta,tutora_exacta_display,1.0,2,2
"Perez-Gonzalez, Jorge",Jorge Pérez González,alta,tutora_exacta,1.0,6,6
"Perez-gonzalez, Jorge",Jorge Pérez González,alta,tutora_exacta,1.0,2,2
"Perez–Gonzalez, Jorge",Jorge Pérez González,alta,tutora_exacta,1.0,2,2
"Pérez-González, Jorge",Jorge Pérez González,alta,tutora_exacta,1.0,2,2
Jose Antonio Marmolejo Saucedo,Jose Antonio Marmolejo Saucedo,alta,tutora_exacta_display,1.0,5,5
"Marmolejo-Saucedo, Jose Antonio",Jose Antonio Marmolejo Saucedo,alta,tutora_exacta,1.0,5,5
Jose I Martinez Lopez,Jose Ismael Martinez Lopez,media,tutora_probable_display,0.96,1,1
"Martinez-Lopez, Jose I.",Jose Ismael Martinez Lopez,media,tutora_probable,0.96,1,1
José L Medina Franco,Jose Luis Medina Franco,media,tutora_probable_display,0.96,1,1
"Medina-Franco, José L.",Jose Luis Medina Franco,media,tutora_probable,0.96,1,1
"Herrera-Camacho, Jose Abel",José Abel Herrera Camacho,alta,tutora_exacta,1.0,2,2
