alias,autor_normalizado,confianza,origen,score,n_filas_base,n_articulos_base
Gerardo L Maldonado,Gerardo Maldonado,media,revision_manual_resuelta_web,,,
Gerardo Maldonado,Gerardo Maldonado,media,revision_manual_resuelta_web,,,
"Maldonado, Gerardo L.",Gerardo Maldonado,media,revision_manual_resuelta_web,,,
Gerardo A Salazar,Gerardo Salazar,media,revision_manual_resuelta_web,,,
Gerardo Salazar,Gerardo Salazar,media,revision_manual_resuelta_web,,,
"Salazar, Gerardo A.",Gerardo Salazar,media,revision_manual_resuelta_web,,,
Gerardo E Sanchez Gonzalez,Gerardo Sanchez Gonzalez,media,revision_manual_resuelta_web,,,
Gerardo Sanchez Gonzalez,Gerardo Sanchez Gonzalez,media,revision_manual_resuelta_web,,,
"Sanchez-Gonzalez, Gerardo E.",Gerardo Sanchez Gonzalez,media,revision_manual_resuelta_web,,,
Gerardo Vega,Gerardo Vega,alta,nuevo_autor_normalizado_display,0.0,3,3
"Vega, Gerardo",Gerardo Vega,alta,nuevo_autor_normalizado,0.0,3,3
G A Holguín Londoño,Germán Andrés Holguín Londoño,alta,revision_manual_resuelta_web,,,
Germán Andrés Holguín Londoño,Germán Andrés Holguín Londoño,alta,revision_manual_resuelta_web,,,
"Holguín-Londoño, G.A.",Germán Andrés Holguín Londoño,alta,revision_manual_resuelta_web,,,
"Benítez-Bobadilla, Germán",Germán Benítez Bobadilla,alta,nuevo_autor_normalizado,0.0,2,2
Germán Benítez Bobadilla,Germán Benítez Bobadilla,alta,nuevo_autor_normalizado_display,0.0,2,2
German A Holguin,German Holguin,media,revision_manual_resuelta_web,,,
German Holguin,German Holguin,media,revision_manual_resuelta_web,,,
"Holguin, German A.",German Holguin,media,revision_manual_resuelta_web,,,
Gianella Valencia,Gianella Valencia,alta,nuevo_autor_normalizado_display,0.0,1,1
"Valencia, Gianella",Gianella Valencia,alta,nuevo_autor_normalizado,0.0,1,1
"Fuentes-Pineda, G.",Gibrán Fuentes Pineda,alta,alias_a_autor_existente,0.9,2,2
"Fuentes Pineda, Gibran",Gibrán Fuentes Pineda,alta,tutora_exacta,1.0,1,1
G. Fuentes-Pineda,Gibrán Fuentes Pineda,media,tutora_probable,0.96,8,8
Gibran Fuentes Pineda,Gibrán Fuentes Pineda,alta,tutora_exacta_display,1.0,1,1
"Pineda, Gibran Fuentes",Gibrán Fuentes Pineda,alta,tutora_exacta,1.0,1,1
Gilberto Ruíz Espinosa,Gilberto Ruíz Espinosa,alta,nuevo_autor_normalizado_display,0.0,1,1
"Ruíz-Espinosa, Gilberto",Gilberto Ruíz Espinosa,alta,nuevo_autor_normalizado,0.0,1,1
Gilde Valeria Rodríguez,Gilde Valeria Rodríguez,alta,nuevo_autor_normalizado_display,0.0,9,9
"Rodríguez, Gilde Valeria",Gilde Valeria Rodríguez,alta,nuevo_autor_normalizado,0.0,9,9
"Valeria Rodríguez, Gilde",Gilde Valeria Rodríguez,alta,nuevo_autor_normalizado,0.0,2,2
"David, Giron-Villalobos",Giron Villalobos David,alta,nuevo_autor_normalizado,0.0,2,2
Giron Villalobos David,Giron Villalobos David,alta,nuevo_autor_normalizado_display,0.0,2,2
"Casale, Giuliano",Giuliano Casale,alta,nuevo_autor_normalizado,0.0,1,1
Giuliano Casale,Giuliano Casale,alta,nuevo_autor_normalizado_display,0.0,1,1
G. H. López-Mera,Gonzalo Hedain Lopez Mera,media,expandido_por_variante_interna,0.0,3,3
Gonzalo Hedain Lopez Mera,Gonzalo Hedain Lopez Mera,alta,nuevo_autor_normalizado_display,0.0,3,3
"Lopez-Mera, G.H.",Gonzalo Hedain Lopez Mera,media,expandido_por_variante_interna,0.0,3,3
"Lopez-Mera, Gonzalo Hedain",Gonzalo Hedain Lopez Mera,alta,nuevo_autor_normalizado,0.0,3,3
Graciela Herrera,Graciela Herrera,media,revision_manual_resuelta_web,,,
Graciela S Herrera,Graciela Herrera,media,revision_manual_resuelta_web,,,
"Herrera, Graciela S.",Graciela Herrera,media,revision_manual_resuelta_web,,,
E G Sewell,Granville Sewell,media,revision_manual_resuelta_web,,,
Granville Sewell,Granville Sewell,media,revision_manual_resuelta_web,,,
"Sewell, E.G.",Granville Sewell,media,revision_manual_resuelta_web,,,
"Chockler, Gregory",Gregory Chockler,alta,nuevo_autor_normalizado,0.0,1,1
Gregory Chockler,Gregory Chockler,alta,nuevo_autor_normalizado_display,0.0,1,1
Grigori Sidorov,Grigori Sidorov,alta,tutora_exacta_display,1.0,1,1
"Sidorov, Grigori",Grigori Sidorov,alta,tutora_exacta,1.0,1,1
"Demésy, Guillaume",Guillaume Demésy,alta,nuevo_autor_normalizado,0.0,1,1
Guillaume Demésy,Guillaume Demésy,alta,nuevo_autor_normalizado_display,0.0,1,1
Guillermina Yáñez Téllez,Guillermina Yáñez Téllez,alta,nuevo_autor_normalizado_display,0.0,1,1
"Yáñez-Téllez, Guillermina",Guillermina Yáñez Téllez,alta,nuevo_autor_normalizado,0.0,1,1
"Diaz, Guillermo",Guillermo Diaz,alta,nuevo_autor_normalizado,0.0,3,3
Guillermo Diaz,Guillermo Diaz,alta,nuevo_autor_normalizado_display,0.0,3,3
G. Gilberto Molero-Castillo,Guillermo Gilberto Molero Castillo,media,tutora_probable,0.96,3,3
Gunnar Wolf,Gunnar Wolf,alta,tutora_exacta_display,1.0,6,6
"Wolf, Gunnar",Gunnar Wolf,alta,tutora_exacta,1.0,6,6
G. A. Castro Vazquez,Gustavo Alejandro Castro Vazquez,alta,revision_manual_resuelta_web,,,
Gustavo Alejandro Castro Vazquez,Gustavo Alejandro Castro Vazquez,alta,nuevo_autor_normalizado_display,0.0,2,2
"Vazquez, Gustavo Alejandro Castro",Gustavo Alejandro Castro Vazquez,alta,nuevo_autor_normalizado,0.0,2,2
A Gustavo Ayala,Gustavo Ayala,media,revision_manual_resuelta_web,,,
"Ayala, A. Gustavo",Gustavo Ayala,media,revision_manual_resuelta_web,,,
Gustavo Ayala,Gustavo Ayala,media,revision_manual_resuelta_web,,,
Gustavo Niz,Gustavo Niz,alta,nuevo_autor_normalizado_display,0.0,1,1
"Niz, Gustavo",Gustavo Niz,alta,nuevo_autor_normalizado,0.0,1,1
Gustavo A R Velasquez Rodriguez,Gustavo Velásquez Rodríguez,media,revision_manual_resuelta_web,,,
Gustavo Velásquez Rodríguez,Gustavo Velásquez Rodríguez,media,revision_manual_resuelta_web,,,
"Velasquez-Rodriguez, Gustavo A. R.",Gustavo Velásquez Rodríguez,media,revision_manual_resuelta_web,,,
"Attiya, Hagit",Hagit Attiya,alta,nuevo_autor_normalizado,0.0,2,2
Hagit Attiya,Hagit Attiya,alta,nuevo_autor_normalizado_display,0.0,2,2
Haydee O Hernandez,Haydee O Hernandez,alta,tutora_exacta_display,1.0,2,2
"Hernandez, Haydee O.",Haydee O Hernandez,alta,tutora_exacta,1.0,2,2
"Alva-Sanchez, H.",Héctor Alva Sánchez,media,tutora_probable,0.96,3,3
H Alva Sanchez,Héctor Alva Sánchez,media,tutora_probable_display,0.96,3,3
"Benitez-Perez, H.",Héctor Benítez Pérez,media,expandido_por_variante_interna,0.9,1,1
"Benitez-Perez, Hector",Héctor Benítez Pérez,alta,tutora_exacta,1.0,5,5
H Benitez Perez,Héctor Benítez Pérez,media,expandido_por_variante_interna_display,0.9,1,1
Hector Benitez Perez,Héctor Benítez Pérez,alta,tutora_exacta_display,1.0,5,5
"Díaz, Héctor",Héctor Díaz,alta,nuevo_autor_normalizado,0.0,1,1
Héctor Díaz,Héctor Díaz,alta,nuevo_autor_normalizado_display,0.0,1,1
"Guerrero, Hector",Héctor Guerrero,alta,tutora_exacta,1.0,1,1
Hector Guerrero,Héctor Guerrero,alta,tutora_exacta_display,1.0,1,1
"Amezcua, H. Rodrigo",Héctor Rodrigo Amezcua,alta,revision_manual_resuelta_web,,,
H Rodrigo Amezcua,Héctor Rodrigo Amezcua,alta,revision_manual_resuelta_web,,,
Héctor Rodrigo Amezcua,Héctor Rodrigo Amezcua,alta,revision_manual_resuelta_web,,,
"Adorno, Helena Gomez",Helena Montserrat Gómez Adorno,alta,alias_a_autor_existente,0.93,1,1
"Gomez-Adorno, H.",Helena Montserrat Gómez Adorno,media,tutora_probable,0.96,2,2
"Gomez-Adorno, Helena",Helena Montserrat Gómez Adorno,alta,tutora_probable,0.99,25,25
H Gomez Adorno,Helena Montserrat Gómez Adorno,media,tutora_probable_display,0.96,2,2
Helena Gomez Adorno,Helena Montserrat Gómez Adorno,alta,tutora_probable_display,0.99,25,25
Heriberto Sanchez Mora,Heriberto Sanchez Mora,alta,nuevo_autor_normalizado_display,0.0,1,1
"Sanchez-Mora, Heriberto",Heriberto Sanchez Mora,alta,nuevo_autor_normalizado,0.0,1,1
"Calvo, Hiram",Hiram Calvo,alta,nuevo_autor_normalizado,0.0,2,2
Hiram Calvo,Hiram Calvo,alta,nuevo_autor_normalizado_display,0.0,2,2
H A Ayala Solares,Hugo Ayala Solares,alta,revision_manual_resuelta_web,,,
Hugo Ayala Solares,Hugo Ayala Solares,alta,revision_manual_resuelta_web,,,
"Solares, H.A. Ayala",Hugo Ayala Solares,alta,revision_manual_resuelta_web,,,
Hugo Didier Longines Tapia,Hugo Didier Longines Tapia,alta,nuevo_autor_normalizado_display,0.0,2,2
"Longines Tapia, Hugo Didier",Hugo Didier Longines Tapia,alta,nuevo_autor_normalizado,0.0,2,2
"Tapia, Hugo Didier Longines",Hugo Didier Longines Tapia,alta,nuevo_autor_normalizado,0.0,2,2
H Quiroz Mercado,Hugo Quiroz Mercado,alta,revision_manual_resuelta_web,,,
